particle_id,birth_time_s,x_mm,y_mm,z_mm,vx_m_s,vy_m_s,vz_m_s,mass_amu,charge_state
1,5.504505312287704e-07,0.07867142589551628,0.39795304146922866,-1.5,-7.095207662897429,-62.51718082808902,1963.5311422016355,100.0,1
2,6.602817347490555e-08,0.17312625738025142,0.0875932389586996,-1.5,-60.96759936945488,-48.26915892023867,1962.9993189989623,100.0,1
3,7.683382894923248e-08,-0.33862870163087566,-0.2765998636679787,-1.5,31.655415575681467,-17.75952106081002,1964.203609695938,100.0,1
4,8.247865112213395e-07,-0.31862649392304243,0.1448847032298385,-1.5,-105.68471566692635,-29.698037109747943,1961.4693608956425,100.0,1
5,5.441136216547928e-07,-0.28508441315535427,-0.18490244130321,-1.5,-56.5756821623838,-140.54117323860362,1958.6885043514983,100.0,1
6,1.839295612679447e-07,0.21532686225031833,0.10442689548289523,-1.5,103.51411589833789,109.56464874682663,1958.7479934440014,100.0,1
7,4.38634350086509e-07,-0.411760775405459,-0.19999273937328854,-1.5,85.35090918922735,24.896298063180843,1962.5260973830266,100.0,1
8,6.806657896979205e-07,-0.19347476346737344,0.04259511684975648,-1.5,59.71868110745751,42.03148544376428,1963.1811734081773,100.0,1
9,5.579707493599855e-07,0.4300170648283039,-0.06814235790462424,-1.5,145.19942509907045,75.27253528517612,1957.7191981100796,100.0,1
10,4.3515200328111567e-07,-0.3128716111267249,0.2930177395873592,-1.5,67.01436075767133,-45.26921548058808,1962.8736739403644,100.0,1
11,2.1912458429513494e-07,0.3534033575532751,-0.22593563247805584,-1.5,-41.30589221918481,-17.46249641579495,1964.0270290281233,100.0,1
12,3.076856699586248e-07,0.3111077269170125,0.09409790075286363,-1.5,-43.32049606655004,-10.461434594297478,1964.033395661313,100.0,1
13,5.834694044558778e-07,0.05194522718571982,0.2088618806685388,-1.5,-55.190736861945176,-157.77047472677756,1957.4155782907355,100.0,1
14,2.582325513899794e-07,-0.17826128501973898,0.30894273487733387,-1.5,-49.602812454777165,-79.27894325645143,1962.3118244608445,100.0,1
15,7.041993468585737e-07,-0.060914261198948376,-0.16093431610744,-1.5,-109.3187300131355,99.38158149072115,1958.9757534984576,100.0,1
16,5.6804972785548575e-08,0.21747632559959024,-0.19604186370536664,-1.5,118.37291616433195,-37.40733436601771,1960.6126160770548,100.0,1
17,5.775153229410677e-07,-0.05775336305098371,0.020776777667939245,-1.5,-22.961760524984797,-137.72543931893114,1959.5708068819897,100.0,1
18,4.570956762130738e-07,-0.23964071003402054,0.24161860949969863,-1.5,34.60384313292606,7.667779575662903,1964.21919995273,100.0,1
19,9.085045332722804e-07,0.3114949904897612,-0.37752729442553373,-1.5,39.95946860342572,33.49957615400803,1963.846813153349,100.0,1
20,5.214251188361277e-07,-0.17477366092992327,0.043429751710652914,-1.5,-1.3395497938640704,-103.2152500032615,1961.8251971160032,100.0,1
21,1.525529340720543e-07,-0.29964687723888894,0.17767096978563776,-1.5,-22.93436603580595,-99.51747821427638,1961.882660265526,100.0,1
22,6.103122495562816e-07,0.017929377730354468,-0.48340226446963075,-1.5,-151.25393711634217,25.835577283413283,1958.5372234704578,100.0,1
23,6.574487262837305e-07,0.054469390659745286,-0.18426617464381762,-1.5,-40.979078144758915,17.31642766458467,1964.0351684105542,100.0,1
24,1.636163878950184e-07,-0.4763820265622643,0.0015272759687540174,-1.5,-77.09958087232225,131.68185428434444,1958.6037961128536,100.0,1
25,6.649352178951548e-07,0.2366344234075028,-0.30827572361707495,-1.5,78.0694112889991,108.73748111454698,1959.9731155013285,100.0,1
26,8.608247296566186e-07,-0.2158459718505732,0.22120748819340566,-1.5,-90.02631056385562,114.82613200934907,1959.1129393376389,100.0,1
27,5.536299068985075e-07,0.1578449559725491,-0.13410120984914883,-1.5,0.8341624724187054,-94.46662812670928,1962.266201770155,100.0,1
28,7.165686225827997e-07,0.4432033712444098,0.13039134669763916,-1.5,-94.14497089013308,-115.84682031185821,1958.8592407178876,100.0,1
29,2.2551613231857705e-07,0.1906533793061134,0.1072717226904189,-1.5,-158.6739246906667,17.59220498928325,1958.0414669288818,100.0,1
30,4.3298408945090715e-08,0.20886015307046404,-0.18002262926062543,-1.5,124.62146082907248,-70.46311067457125,1959.3156274069327,100.0,1
31,3.2651122325233405e-07,0.011982492900917747,-0.2308938524868481,-1.5,47.589102223948366,9.828280915890616,1963.9378728742638,100.0,1
32,5.5000434843737e-07,0.0506263183214807,-0.10500559391769158,-1.5,-51.831402991260475,123.74462076220954,1959.9525659470705,100.0,1
33,7.825893455155933e-07,0.2534201465068224,-0.21295091959978166,-1.5,-55.30502640988023,132.66647589121055,1959.273907980847,100.0,1
34,8.837116788648625e-07,-0.23241847091670198,0.36051942952345783,-1.5,75.21916352113863,-24.039581371759745,1962.951212392397,100.0,1
35,5.540825721571933e-07,-0.0021778972558075043,0.21232500560060397,-1.5,85.4131421153041,27.835282802309095,1962.4839052719483,100.0,1
36,9.721573985484657e-08,0.049542595147439916,0.20812895876699264,-1.5,-94.54439982158686,-60.54371065042564,1961.3284023409199,100.0,1
37,2.4241124818600334e-07,-0.14744391813500077,-0.144711464749174,-1.5,120.78496497819081,-32.92197105258051,1960.5459500668078,100.0,1
38,3.341062397666773e-07,-0.2530127151032486,-0.3151286838293713,-1.5,4.432264905145304,148.6582057876313,1958.901319399715,100.0,1
39,6.696216335855561e-07,-0.05623491983817665,0.09374894683855242,-1.5,99.95666859813122,-45.301309568065804,1961.471320723378,100.0,1
40,4.61665632709877e-07,-0.3411359960760253,-0.3271256863425413,-1.5,-134.28559815797658,59.822925976792206,1959.0308527231164,100.0,1
41,6.256087521527524e-07,0.22568475154588144,0.30687094409756793,-1.5,-109.60902244100885,63.87373053096171,1960.4385466047427,100.0,1
42,5.713681159958437e-07,0.26321371728297255,0.3983744682046763,-1.5,-124.73876530101182,95.18669775600331,1958.262755420635,100.0,1
43,1.0546480953793382e-07,-0.11334270388021571,0.40337927788067246,-1.5,67.58230413330527,99.38111206798705,1960.8593302423035,100.0,1
44,4.790773890661079e-07,0.33652766614909974,0.24854897639073834,-1.5,132.82611368884858,105.21176278727273,1957.2176666788093,100.0,1
45,4.498670078253344e-07,0.07793699642762258,-0.3718216079812855,-1.5,-47.61581907523565,93.24757959220616,1961.7469023653691,100.0,1
46,4.69528754432509e-07,-0.150982980746618,-0.3332300321658623,-1.5,-53.36065423391969,-40.41656699738123,1963.3981837513259,100.0,1
47,7.559981093217993e-09,0.374956878683643,-0.045989129959663,-1.5,28.6722465450598,156.7247714006235,1958.0675510751955,100.0,1
48,5.692659507090691e-07,-0.14348732472500617,-0.20035110208280313,-1.5,93.15534189822577,108.04911020491704,1959.3521271904858,100.0,1
49,2.9882526188278933e-07,-0.3627048300765159,-0.28213027131466867,-1.5,49.82545836750283,50.83337078126579,1963.2490107929798,100.0,1
50,5.912730497623194e-07,-0.4536834699998645,0.16430024434139986,-1.5,-79.79429896012208,41.94603092124587,1962.4695377532737,100.0,1
51,3.019335931403362e-07,0.3000690877736686,0.25417962408746786,-1.5,-142.564744666794,-92.70746408492904,1957.1647620849822,100.0,1
52,2.0858247245887928e-07,-0.27981334009176645,-0.1759735737300423,-1.5,-43.31846700517856,134.89434256554435,1959.4234644471985,100.0,1
53,6.258737000995145e-07,-0.39752771882247806,0.21063887034237558,-1.5,1.0423927509500257,14.108858514558104,1964.4880095828787,100.0,1
54,2.1937660441212633e-07,-0.21485974541841785,-0.40935160051785907,-1.5,60.136800584191334,-130.33990823708174,1959.2877174632565,100.0,1
55,2.71027302052854e-07,-0.31817648070140314,0.15620791233621098,-1.5,-133.44590847729475,-48.56063703769033,1959.3997397946378,100.0,1
56,1.6710561296034715e-07,-0.01142736095831566,0.09835745438478073,-1.5,13.914652824503955,76.59923607166024,1962.995727386115,100.0,1
57,4.948278457602468e-07,0.2540340249547161,0.23034236318781517,-1.5,-11.853953555600516,-17.656957263171495,1964.4238345915678,100.0,1
58,6.178634426525923e-07,-0.24115797961360577,0.2902320487110427,-1.5,-63.189758917046724,-155.0128345684987,1957.394023121859,100.0,1
59,3.718789679522346e-07,-0.2818848578291497,0.0016892602227598279,-1.5,-89.90881780963784,-8.680441084866883,1962.4612966091272,100.0,1
60,5.525884685696303e-07,0.1937310210345759,0.4585473342029024,-1.5,58.595944295206024,76.52452756710507,1962.173233498744,100.0,1
61,7.410460041358729e-07,-0.326237795520298,0.21989950314325124,-1.5,-42.39368541238929,-91.31693522885479,1961.9575120383458,100.0,1
62,4.15301192173493e-07,-0.41880992072357814,0.1613930319784581,-1.5,4.668773397862397,120.01333457964617,1960.864168764416,100.0,1
63,6.744045975506673e-07,0.14599898064366632,-0.4524032478390336,-1.5,-2.4191958061665475,-154.84368938786739,1958.425608904902,100.0,1
64,8.37612223447521e-07,-0.3859300344126404,-0.05647908269649258,-1.5,-134.51875010557674,-71.13919123873015,1958.6365685358944,100.0,1
65,8.076761845947825e-08,-0.4046781446893549,-0.13623713711730995,-1.5,-62.116972536774504,-95.11363212324662,1961.2516832302072,100.0,1
66,7.146611905574286e-07,-0.14966653774295632,-0.15993121232655166,-1.5,-84.07639524503304,85.26099742637473,1960.8862813397905,100.0,1
67,3.3621972150804615e-07,-0.25475736675459176,0.2936922854366571,-1.5,-8.43348862397157,-87.81923795058331,1962.5569912696903,100.0,1
68,1.5703685269697616e-07,-0.24450044034438012,-0.2948586583641415,-1.5,-20.702976230145964,-158.55740830470373,1958.0204854171063,100.0,1
69,2.1968467988869463e-08,-0.05858061405111216,0.2166204612202523,-1.5,13.717567145734169,-95.75662940588988,1962.1559016914423,100.0,1
70,5.196585608917642e-07,-0.13345554404393786,-0.06773146154061978,-1.5,-44.774585035792704,-64.44294802541977,1962.9711228774602,100.0,1
71,7.614119931000182e-07,-0.2136731036443429,0.15578697564167596,-1.5,135.82711356506977,68.18312877481901,1958.651409117301,100.0,1
72,4.0624113506195983e-07,0.3427086319567034,0.3199129357629553,-1.5,140.62571981635895,46.028076908105966,1958.9586798420235,100.0,1
73,2.3811650780358084e-07,-0.04654475468702626,0.33883657189190103,-1.5,-89.79696020679056,-27.260416990803677,1962.2962727043127,100.0,1
74,2.2468754895949643e-07,-0.3664723870503531,-0.33108087290860555,-1.5,4.3145852204925905,-126.37148614600163,1960.465485059545,100.0,1
75,1.2684032653440334e-07,0.18086956104542765,-0.10030585653638031,-1.5,128.39370914295782,83.19416944864905,1958.5727129438912,100.0,1
76,6.619504815254449e-08,0.11315085833446323,-0.0004348049523362417,-1.5,-89.52918014946214,-48.37872973023841,1961.9014528455768,100.0,1
77,2.00130248855324e-07,0.16198181226417802,-0.29188766421489515,-1.5,5.143808256006548,-130.97291631849714,1960.1614532210822,100.0,1
78,3.801284777410375e-07,-0.3978397373925587,-0.025301359263066377,-1.5,-1.5742307047326718,36.793050011686006,1964.1937479624196,100.0,1
79,1.8263341343562304e-07,-0.1256140464051016,0.4306962480397456,-1.5,-113.34453308191846,13.434743431715207,1961.2204900916922,100.0,1
80,7.09859273588421e-07,-0.40508694977023024,0.1095572431078152,-1.5,-16.343828045156084,143.50515142535178,1959.222406227876,100.0,1
81,1.7412041637922547e-07,-0.07866083461012678,-0.23884203500470516,-1.5,9.030265252726933,46.49276492788883,1963.9679639405927,100.0,1
82,4.50488607109455e-07,-0.18920894893090295,0.2465916113239921,-1.5,-149.28651638453437,42.713703034313035,1958.3928007080187,100.0,1
83,6.402504268210405e-07,0.4266709702341398,-0.1885952625224892,-1.5,113.67843156929494,101.72122990327307,1958.6074879487828,100.0,1
84,7.959879190610727e-09,-0.09766270560786917,-0.07641779331075021,-1.5,51.81942714893766,131.08629230821123,1959.475546467721,100.0,1
85,2.3149570491070945e-07,0.004435295604813365,0.15433546572560497,-1.5,25.483177003309027,-13.182236742611355,1964.3294333157082,100.0,1
86,4.622433401686205e-07,-0.2384499729893759,0.28359193516487524,-1.5,-5.800306592231574,-140.6741793928348,1959.4872844603303,100.0,1
87,2.698444110337579e-07,0.0579431613853845,0.09981607419788058,-1.5,-146.50610047603246,-6.183390309774854,1959.0587062346333,100.0,1
88,5.519499664920211e-07,0.09785279452240046,0.39673255720010453,-1.5,-115.99039038347709,-50.657670169099546,1960.457425209193,100.0,1
89,4.861264569434227e-07,-0.4235990570053478,-0.2604752410443229,-1.5,-24.715408225929455,163.05643301788118,1957.6044121614157,100.0,1
90,5.348076269489839e-07,0.011488914468156747,0.26584711763531155,-1.5,130.86931298160016,77.27857195509229,1958.651202103743,100.0,1
91,6.422710307123013e-07,-0.25097947760909617,0.12331571224863203,-1.5,69.55434692211652,-143.52697339993367,1958.0540051278012,100.0,1
92,5.573850708861989e-07,-0.09700774215457388,-0.26246811919905516,-1.5,-15.442026890264138,-78.89061986738992,1962.8935529387707,100.0,1
93,1.6307452061223285e-07,0.18807150398512204,-0.15009951950379197,-1.5,-0.5678495290125818,-30.293357799581713,1964.305291009081,100.0,1
94,6.97607093586328e-07,-0.36100071952332113,-0.2837009150017831,-1.5,1.0353314671169633,66.516627433984,1963.4122727103681,100.0,1
95,7.630378402037124e-08,0.1811623664499734,-0.10725708212233553,-1.5,78.35934784605647,-49.436904301744946,1962.352947704447,100.0,1
96,4.467705318533728e-07,0.04767260248950741,-0.3640271836714244,-1.5,-65.03917221578864,129.68355130097393,1959.174665226555,100.0,1
97,7.382488990331969e-07,0.17465134326769852,0.13569988717892228,-1.5,162.29961997239397,13.935823934014476,1957.7737132861469,100.0,1
98,6.129104417926978e-07,0.17513391508681578,0.4598883879588558,-1.5,-97.39275586601457,74.31527063670184,1960.7154760242872,100.0,1
99,4.468929063466786e-07,-0.11121468130948452,0.2782716116486654,-1.5,-167.18822888895824,-36.52981938894159,1957.0710142155076,100.0,1
100,8.365630615715499e-07,0.09840792132108302,-0.11677186227688484,-1.5,-7.045221251423316,-107.06286061926893,1961.606789088901,100.0,1
101,5.694830517413956e-07,0.0057614786358589215,-0.390487202005113,-1.5,102.80707435897435,43.393629705558716,1961.3671213286043,100.0,1
102,6.462212037504205e-07,0.2302890207273014,-0.42003833269917024,-1.5,-67.63987591599556,97.94724992762791,1960.9294912576063,100.0,1
103,7.657725115220113e-07,-0.2084673285451215,0.27840069300723863,-1.5,118.61832806156812,-76.02598705957661,1959.4802953348692,100.0,1
104,1.6441760613406913e-07,-0.28989225286847337,0.013985624940513175,-1.5,-98.28456854569836,28.50078933019691,1961.871844657411,100.0,1
105,7.180765174071603e-07,-0.12047187086580931,0.47594591882278076,-1.5,-104.6764079360485,-114.71263446937532,1958.3914693903344,100.0,1
106,1.0135688245996917e-07,0.020218173752876965,-0.4531682887200374,-1.5,-63.39140298016356,-145.324642124425,1958.130630138282,100.0,1
107,5.526229994060334e-07,-0.01852449996162836,0.4878922497489802,-1.5,57.91361969926898,33.676977922512506,1963.3963329082253,100.0,1
108,3.531766890768526e-07,0.4181272650421036,0.24626873929490178,-1.5,-8.903189322236738,130.43075055216477,1960.1841339007983,100.0,1
109,2.377562301698266e-07,-0.0033662595908118126,-0.2158206128415327,-1.5,52.66301162707237,-54.272226330908794,1963.082886411469,100.0,1
110,3.4055195201145374e-07,0.38270413239461065,0.1831018256776656,-1.5,22.95042868930582,-81.227270055349,1962.7248137954705,100.0,1
111,7.168428015978249e-08,-0.4136731607016849,-0.07600197625397884,-1.5,5.313575995192528,129.49991819461175,1960.2588664163372,100.0,1
112,7.852606625522723e-07,-0.13027998213138736,0.15488295150429957,-1.5,-99.89989384197783,70.59396621849376,1960.7268523203415,100.0,1
113,5.780440528693298e-07,-0.43042838124185917,-0.08607512324031323,-1.5,128.7260359463504,-77.25325564864076,1958.7942281994185,100.0,1
114,6.092029778555118e-07,0.2558648043004197,0.35275125581607086,-1.5,-131.38827813792784,88.65872691820017,1958.134325518892,100.0,1
115,5.864904552544889e-07,-0.15832713279612037,0.2032658996793478,-1.5,37.7735102636978,41.392202942128414,1963.7395788963686,100.0,1
116,7.022497692844576e-09,0.1360221332597875,-0.049360629376840076,-1.5,109.90803634089616,128.51565565058323,1957.247362002698,100.0,1
117,4.919702145056453e-07,-0.2453136773081755,-0.20857823927614635,-1.5,-87.6415229172951,-86.83810948968285,1960.6609580616243,100.0,1
118,2.620496291228019e-08,0.2652078172176252,-0.18455184766272417,-1.5,-98.14837476203104,57.580853830625955,1961.2405839340158,100.0,1
119,3.6483573323192954e-07,-0.2858162038875149,0.36844291406266366,-1.5,-116.00577103262292,-65.79713684150649,1960.0068071659134,100.0,1
120,1.9481507881379427e-07,0.0868433392890494,-0.08523573612303385,-1.5,-155.95904588017663,-39.029201580782484,1957.9496376817874,100.0,1
121,5.086017049638102e-07,-0.101976409877438,0.35267462604169936,-1.5,-40.51524719221551,141.46072441720446,1959.0203328343596,100.0,1
122,5.087983152589647e-07,-0.25791860497972824,-0.17078016819374517,-1.5,-83.12614874605958,115.40129895225327,1959.3840536915961,100.0,1
123,3.944505342888524e-07,-0.38083755749549253,-0.2582751312025447,-1.5,56.89207611779249,-29.433513454701238,1963.4943967902864,100.0,1
124,5.100053405213748e-07,0.3338297361677104,-0.3120089194781851,-1.5,72.85622758535457,0.8042916432995825,1963.187359750239,100.0,1
125,4.135619302815549e-07,0.24447198291325725,-0.42239499578392803,-1.5,-125.4738510143008,28.523940598865586,1960.3203778440106,100.0,1
126,1.0979106245274378e-07,-0.3905186729594774,-0.17135541550802816,-1.5,-40.722553985183936,24.377878328844233,1963.9655493188366,100.0,1
127,4.350032745558428e-07,0.4207065776476543,-0.0368652059042463,-1.5,-61.614968094088134,-77.78474334327879,1962.0311964074158,100.0,1
128,6.535411138141854e-07,0.0937737893154479,-0.16834646147660787,-1.5,44.9286472347275,141.05108295216272,1958.9536224530204,100.0,1
129,4.770919497028808e-07,0.06979720728957362,-0.12257404222856458,-1.5,-136.59172433150002,-46.91231422594777,1959.223116922686,100.0,1
130,4.479405604594094e-07,-0.030694088554345966,-0.26160187153329406,-1.5,-21.772298023878072,-109.4926421515032,1961.364477760208,100.0,1
131,1.1003429599256306e-07,-0.3037850871466597,0.22587340926402627,-1.5,94.406395475603,-50.5037520984047,1961.6192519914302,100.0,1
132,5.681437241679374e-07,-0.009160266660168179,0.04496064334939169,-1.5,9.600266542024645,-51.039334027224214,1963.8523639852642,100.0,1
133,8.982305005802652e-07,0.044404300521736335,-0.20050854182460248,-1.5,-105.03496992080152,-101.56719654973394,1959.0980184628065,100.0,1
134,5.26489753499612e-07,-0.23752268840533247,-0.2766875556450619,-1.5,50.391151816275745,95.45540738415427,1961.5713811344938,100.0,1
135,6.637655439321327e-07,-0.03922095706830874,0.2534904006898744,-1.5,-119.58441320206575,-27.65985455151871,1960.7008407279877,100.0,1
136,4.2210517617013915e-07,0.3589355227697597,0.18877140726130834,-1.5,-138.61467492719578,80.44654175213563,1957.9907078638246,100.0,1
137,7.39270819911904e-07,0.3548472558496906,0.1453169962673612,-1.5,-64.45137838219958,137.92559902107976,1958.6311125950804,100.0,1
138,5.5126744931326105e-08,0.30690460985182333,0.19722004413064545,-1.5,104.00369809753111,115.7461771411764,1958.3664977540268,100.0,1
139,8.443621825285008e-07,-0.45195383655894594,0.02956454254264904,-1.5,-147.23293243735566,-66.26016717887613,1957.89308699874,100.0,1
140,6.315339255396533e-08,-0.12507651226134453,-0.1518134867077162,-1.5,-80.48905605080571,-135.06997446710687,1958.2366813333972,100.0,1
141,7.943051215813856e-08,0.04958123857046544,0.35424699696458856,-1.5,-10.309966071279051,0.48155243944719983,1964.5118373206583,100.0,1
142,8.451663139914065e-07,-0.0010726475061075067,0.33792745206748714,-1.5,-5.761671043960798,92.66048528841222,1962.344038103163,100.0,1
143,3.118011250256755e-07,0.06819581107383822,0.2559495931889756,-1.5,117.37859369835378,-68.69002451717913,1959.8258168876532,100.0,1
144,5.359236780304206e-07,-0.3311184007768301,0.12482559871083541,-1.5,-79.4458372509569,-79.16622465186428,1961.3348398690102,100.0,1
145,8.614825161436571e-07,-0.2834789662419859,-0.21296154434542328,-1.5,104.28429971500671,-106.93192034460856,1958.8526324127847,100.0,1
146,8.844528619126755e-07,-0.1829498970452576,-0.23036019616328116,-1.5,-17.532655445652733,-17.689482448819106,1964.3810665117521,100.0,1
147,3.002429900713159e-08,0.17236459436462118,-0.1680693006599531,-1.5,12.123642229902027,-95.90341954631673,1962.1592284227434,100.0,1
148,1.3373119496548372e-09,0.1728621773446488,-0.16673112015882086,-1.5,-76.36545563394264,117.15260150368134,1959.5552738856006,100.0,1
149,8.698924346198001e-07,-0.20081274205061214,0.04383892773024814,-1.5,78.87541043191493,139.37566203808476,1958.00060794852,100.0,1
150,8.017868847008109e-07,0.3298472807930266,-0.2234049810934692,-1.5,129.16725185581748,-56.623055124343985,1959.4700653346385,100.0,1
151,7.041747229787058e-07,0.13647802456631958,-0.08281903191089375,-1.5,40.68837862390565,-140.7824871794054,1959.0656021212433,100.0,1
152,6.602626932753653e-07,0.021143906949876574,0.37885859338717615,-1.5,38.32533058680111,59.700760595078286,1963.2575670262709,100.0,1
153,5.028109131606982e-07,-0.29205567696677925,0.35449549812628967,-1.5,37.211602211600756,-110.94566673596535,1961.05064747433,100.0,1
154,9.001631244241828e-07,0.12041830603499534,0.47499335451598207,-1.5,-41.589538258932905,1.8503270813716393,1964.0978012469827,100.0,1
155,8.59560166964444e-07,-0.12148202159949681,-0.31568916695511084,-1.5,170.2719597002792,3.6129835540047757,1957.1427368375041,100.0,1
156,1.8158560920128352e-07,0.07384765537203102,0.2809746507160509,-1.5,-40.6630858104731,-89.89014704069174,1962.0600299642986,100.0,1
157,4.900923412562953e-07,0.12706939260460587,0.22291741257467768,-1.5,-59.58711559123357,-113.35177691411242,1960.3606904322637,100.0,1
158,9.079348939091438e-07,0.23094280533880304,-0.35964057912377695,-1.5,9.975113771150053,-52.250969544005876,1963.8186320414354,100.0,1
159,3.2769335341873633e-07,-0.02413838608376528,-0.3496413811414823,-1.5,-64.03759499795528,-127.47006586593284,1959.3529174197138,100.0,1
160,7.510669699261478e-07,0.1467766534719757,0.45072099531326426,-1.5,-69.21281115713907,-56.26047142198816,1962.5130910119385,100.0,1
161,2.0823939211527476e-07,-0.12148272821919517,-0.036986666467785256,-1.5,-49.31269656176546,39.91430693569788,1963.5142964403854,100.0,1
162,4.57319958645176e-07,-0.11241587092647155,0.287212470561054,-1.5,-100.79019983816379,-115.96149342880365,1958.5217777508822,100.0,1
163,4.319954451698769e-08,0.36911535863247374,0.19842447977608524,-1.5,-56.54958951062935,-7.279796089106272,1963.7113929397087,100.0,1
164,6.891767893665619e-07,-0.1808099054951073,-0.45791940247640944,-1.5,4.830458338001005,-45.65331279656191,1964.002476568977,100.0,1
165,5.829241089278615e-08,-0.24312174261901148,-0.03690192744194265,-1.5,18.11505789054792,-92.25743285580272,1962.287873128357,100.0,1
166,7.169139697537506e-07,0.11140411400254897,0.34778871833853325,-1.5,99.26472686899427,21.12672916259179,1961.9157631204878,100.0,1
167,1.903863411219756e-07,-0.15626629040794507,0.2921879136493004,-1.5,-97.12084811310876,-117.8965612342613,1958.5916440077697,100.0,1
168,2.174062595590078e-07,0.06037113425153347,-0.1247590319356845,-1.5,75.60533133387646,61.542307139256586,1962.1186673012423,100.0,1
169,7.03760590638077e-07,0.11204979063330472,0.06858057746928575,-1.5,2.21207997640826,-78.38561838016719,1962.9732774033039,100.0,1
